AMKA	first_name	last_name	staff_type
00873672562	Χριστίνα	Παπαδόπουλος	Nurse
01806798517	Στέφανος	Λυκούδης	Doctor
01952355846	Κωνσταντίνα	Βλάχος	Doctor
02048681407	Αναστασία	Γεωργίου	Doctor
02276967833	Αικατερίνη	Βασιλείου	Doctor
02712169118	Ευάγγελος	Βασιλείου	Nurse
02740632683	Μιχαήλ	Σκούρας	Doctor
03194865839	Αγγελική	Σπυρίδης	Nurse
03391620089	Γεώργιος	Καραγιάννης	Nurse
03842105364	Στέφανος	Βεργής	Nurse
04538040258	Ιωάννα	Σκαφιδάς	Nurse
04732748368	Αντώνιος	Παναγιωτόπουλος	Nurse
04803904809	Ηλίας	Αθανασίου	Doctor
06804931816	Αθανάσιος	Σιδέρης	Nurse
06966849340	Ηλίας	Κυριακού	Doctor
07221938598	Ηλίας	Διαμαντής	Nurse
07247339492	Δημήτριος	Παπαδόπουλος	Doctor
07284603446	Μαρία	Καλλέργης	Doctor
07325672450	Αικατερίνη	Σαράντος	Nurse
07608886931	Γεώργιος	Βεργής	Nurse
08056607827	Πέτρος	Σαράντος	Nurse
08118938680	Αλεξάνδρα	Βλάχος	Doctor
08531667640	Χριστίνα	Πετρίδης	Nurse
08536137228	Ευάγγελος	Καρράς	Nurse
08634744256	Δημήτριος	Γαλάνης	Nurse
08636983225	Χριστίνα	Σιδέρης	Nurse
09114095621	Ευάγγελος	Παπαδόπουλος	Nurse
09514268953	Ελένη	Κουτσός	Doctor
09629194510	Άννα	Σαράντος	Nurse
09752070938	Αναστασία	Παναγιωτόπουλος	Doctor
09968412821	Αλεξάνδρα	Πέτρου	Nurse
10419345226	Ιωάννα	Σπάθης	Doctor
11556664876	Σοφία	Μανιάτης	Nurse
12025217255	Ελένη	Αθανασίου	Nurse
12588932719	Κωνσταντίνος	Αθανασίου	Doctor
13033382569	Αλεξάνδρα	Αλεξίου	Nurse
13111055864	Ευάγγελος	Κυριακού	Nurse
13157081077	Παναγιώτα	Καλλέργης	Doctor
13894149002	Εμμανουήλ	Νικολάου	Nurse
14070591720	Νικόλαος	Αθανασίου	Doctor
14109200978	Βασιλική	Πέτρου	Nurse
14135835446	Ευάγγελος	Αγγελίδης	Nurse
14862601856	Γεωργία	Σαράντος	Nurse
14878735407	Αικατερίνη	Κωστόπουλος	Doctor
15028005530	Αντώνιος	Ζέρβας	Nurse
15257713289	Ηλίας	Σκαφιδάς	Doctor
15628232862	Ελπίδα	Κουτσός	Doctor
16128372863	Φωτεινή	Παππάς	Nurse
16755892950	Χρήστος	Μητρόπουλος	Nurse
16999662103	Ελπίδα	Μωραΐτης	Doctor
16999662104	Ιωσήφ	Καρακώστας	Doctor
16999662105	Παναγιώτης	Παπαβλάχος	Doctor
16999662106	Αθηνά	Γεωργίου	Doctor
16999662107	Βασιλική	Καραμήτρου	Doctor
17144639464	Νικόλαος	Σαράντος	Doctor
17345107870	Κωνσταντίνος	Γεωργίου	Nurse
17873146945	Αναστασία	Μωραΐτης	Doctor
18099313981	Σταυρούλα	Λαζαρίδης	Nurse
18464174195	Σταυρούλα	Δούκας	Nurse
18563674287	Αντώνιος	Ρήγας	Nurse
18641879269	Εμμανουήλ	Μάντης	Nurse
18688962000	Στυλιανός	Σκούρας	Doctor
18713417760	Μιχαήλ	Βλάχος	Nurse
19299995605	Γεώργιος	Λυκούδης	Nurse
19355882062	Σοφία	Ζέρβας	Doctor
19471516199	Αλεξάνδρα	Σωτηρίου	Nurse
21068257682	Ελπίδα	Λαζαρίδης	Doctor
21090854901	Αικατερίνη	Βέγγος	Doctor
21094689936	Σταυρούλα	Χατζής	Nurse
21557663298	Γεώργιος	Παναγιωτόπουλος	Nurse
21803716771	Φωτεινή	Μακρής	Nurse
22081038185	Πέτρος	Γαλάνης	Nurse
22230827152	Νικόλαος	Αθανασίου	Doctor
23307847182	Στυλιανός	Κοντός	Nurse
24271801410	Μαρίνα	Πετρίδης	Nurse
24323898035	Γεωργία	Ρήγας	Nurse
24663569812	Ελπίδα	Σαράντος	Doctor
24964828828	Αναστασία	Σπάθης	Nurse
25452744453	Σπυρίδων	Μανιάτης	Nurse
25520689038	Σοφία	Ράπτης	Nurse
26090187374	Βασίλειος	Παναγιωτόπουλος	Nurse
27739820422	Αικατερίνη	Σπάθης	Nurse
28605304495	Στυλιανός	Λυκούδης	Nurse
29872841206	Ευαγγελία	Δούκας	Nurse
30019011111	Κατερίνα	Παπά	Admin
30019011112	Νίκος	Φωτίου	Admin
30019011113	Μαρία	Λαζάρου	Admin
30019011114	Γιάννης	Παππάς	Admin
30019011115	Ελένη	Μάρκου	Admin
30019011116	Δημήτρης	Σαράντος	Admin
30019011117	Άννα	Δούκα	Admin
30019011118	Βασίλης	Νικολάου	Admin
30019011119	Χριστίνα	Κίτσου	Admin
30019011120	Γιώργος	Βλάχος	Admin
30853533793	Χριστίνα	Αλεξίου	Doctor
31038226165	Ιωάννης	Τότης	Nurse
31494578609	Ευαγγελία	Μανιάτης	Nurse
31729692117	Αναστασία	Παπαδόπουλος	Doctor
31768463854	Αθανάσιος	Δημητρίου	Nurse
32367963709	Νικόλαος	Βλάχος	Nurse
32585632932	Αλέξανδρος	Κωστόπουλος	Nurse
33066370537	Σοφία	Χρηστίδης	Nurse
33273314714	Στυλιανός	Πετρίδης	Doctor
33300000001	Μαρία	Στεργίου	Admin
33300000002	Γεώργιος	Λαζάρου	Admin
33300000003	Αικατερίνη	Γεωργίου	Admin
33300000004	Δημήτριος	Βασιλείου	Admin
33300000005	Ελένη	Αντωνίου	Admin
33300000006	Ιωάννης	Νικολάου	Admin
33300000007	Σοφία	Ρήγας	Admin
33300000008	Κωνσταντίνος	Δημητρίου	Admin
33300000009	Άννα	Μακρής	Admin
33300000010	Αλέξανδρος	Παπαδόπουλος	Admin
33300000011	Μαρία	Στεργίου	Admin
33300000012	Γεώργιος	Λαζάρου	Admin
33300000013	Αικατερίνη	Γεωργίου	Admin
33300000014	Δημήτριος	Βασιλείου	Admin
33300000015	Ελένη	Αντωνίου	Admin
33300000016	Ιωάννης	Νικολάου	Admin
33300000017	Σοφία	Ρήγας	Admin
33300000018	Κωνσταντίνος	Δημητρίου	Admin
33300000019	Άννα	Μακρής	Admin
33300000020	Αλέξανδρος	Παπαδόπουλος	Admin
33300000021	Μαρία	Στεργίου	Admin
33300000022	Γεώργιος	Λαζάρου	Admin
33300000023	Αικατερίνη	Γεωργίου	Admin
33300000024	Δημήτριος	Βασιλείου	Admin
33300000025	Ελένη	Αντωνίου	Admin
33300000026	Ιωάννης	Νικολάου	Admin
33300000027	Σοφία	Ρήγας	Admin
33300000028	Κωνσταντίνος	Δημητρίου	Admin
33300000029	Άννα	Μακρής	Admin
33300000030	Αλέξανδρος	Παπαδόπουλος	Admin
33300000031	Μαρία	Στεργίου	Admin
33300000032	Γεώργιος	Λαζάρου	Admin
33300000033	Αικατερίνη	Γεωργίου	Admin
33300000034	Δημήτριος	Βασιλείου	Admin
33300000035	Ελένη	Αντωνίου	Admin
33300000036	Ιωάννης	Νικολάου	Admin
33300000037	Σοφία	Ρήγας	Admin
33300000038	Κωνσταντίνος	Δημητρίου	Admin
33300000039	Άννα	Μακρής	Admin
33300000040	Αλέξανδρος	Παπαδόπουλος	Admin
33300000041	Μαρία	Στεργίου	Admin
33300000042	Γεώργιος	Λαζάρου	Admin
33300000043	Αικατερίνη	Γεωργίου	Admin
33300000044	Δημήτριος	Βασιλείου	Admin
33300000045	Ελένη	Αντωνίου	Admin
33300000046	Ιωάννης	Νικολάου	Admin
33300000047	Σοφία	Ρήγας	Admin
33300000048	Κωνσταντίνος	Δημητρίου	Admin
33300000049	Άννα	Μακρής	Admin
33300000050	Αλέξανδρος	Παπαδόπουλος	Admin
33300000051	Μαρία	Στεργίου	Admin
33300000052	Γεώργιος	Λαζάρου	Admin
33300000053	Αικατερίνη	Γεωργίου	Admin
33300000054	Δημήτριος	Βασιλείου	Admin
33300000055	Ελένη	Αντωνίου	Admin
33300000056	Ιωάννης	Νικολάου	Admin
33300000057	Σοφία	Ρήγας	Admin
33300000058	Κωνσταντίνος	Δημητρίου	Admin
33300000059	Άννα	Μακρής	Admin
33300000060	Αλέξανδρος	Παπαδόπουλος	Admin
34352865686	Σοφία	Μωραΐτης	Nurse
34459417120	Αγγελική	Στεργίου	Nurse
34982378011	Παναγιώτης	Βεργής	Doctor
36047077940	Αναστασία	Παππάς	Nurse
36385693117	Σοφία	Ράπτης	Nurse
37202724225	Μαρίνα	Σπυρίδης	Nurse
37269202699	Ηλίας	Σαράντος	Nurse
37324805399	Σπυρίδων	Φωτιάδης	Doctor
37369962539	Φωτεινή	Σπυρίδης	Doctor
37492677209	Σταυρούλα	Σπάθης	Nurse
39340372094	Γεωργία	Φωτιάδης	Doctor
40287457150	Αναστασία	Ράπτης	Nurse
40611304256	Παναγιώτα	Βασιλείου	Doctor
40642799778	Σταυρούλα	Δούκας	Nurse
41423349662	Ιωάννης	Καλλέργης	Doctor
42263366463	Στυλιανός	Σπυρίδης	Nurse
42413163477	Βασιλική	Γαλάνης	Nurse
43346276324	Σπυρίδων	Χατζής	Doctor
43592607291	Άννα	Λάμπρου	Nurse
43914561346	Αντώνιος	Καλλέργης	Doctor
44254145481	Βασίλειος	Κυριακού	Nurse
44400000001	Μαρία	Μακρής	Doctor
44400000002	Γεώργιος	Δημητρίου	Doctor
44400000003	Αικατερίνη	Ρήγας	Doctor
44400000004	Δημήτριος	Νικολάου	Doctor
44400000005	Ελένη	Αντωνίου	Doctor
44400000006	Ιωάννης	Βασιλείου	Doctor
44400000007	Σοφία	Γεωργίου	Doctor
44400000008	Κωνσταντίνος	Λαζάρου	Doctor
44400000009	Άννα	Στεργίου	Doctor
44400000010	Αλέξανδρος	Παπαδόπουλος	Doctor
44400000011	Μαρία	Μακρής	Doctor
44400000012	Γεώργιος	Δημητρίου	Doctor
44400000013	Αικατερίνη	Ρήγας	Doctor
44400000014	Δημήτριος	Νικολάου	Doctor
44400000015	Ελένη	Αντωνίου	Doctor
44400000016	Ιωάννης	Βασιλείου	Doctor
44400000017	Σοφία	Γεωργίου	Doctor
44400000018	Κωνσταντίνος	Λαζάρου	Doctor
44400000019	Άννα	Στεργίου	Doctor
44400000020	Αλέξανδρος	Παπαδόπουλος	Doctor
44400000021	Μαρία	Μακρής	Doctor
44400000022	Γεώργιος	Δημητρίου	Doctor
44400000023	Αικατερίνη	Ρήγας	Doctor
44400000024	Δημήτριος	Νικολάου	Doctor
44400000025	Ελένη	Αντωνίου	Doctor
44400000026	Ιωάννης	Βασιλείου	Doctor
44400000027	Σοφία	Γεωργίου	Doctor
44400000028	Κωνσταντίνος	Λαζάρου	Doctor
44400000029	Άννα	Στεργίου	Doctor
44400000030	Αλέξανδρος	Παπαδόπουλος	Doctor
44400000031	Μαρία	Μακρής	Doctor
44400000032	Γεώργιος	Δημητρίου	Doctor
44400000033	Αικατερίνη	Ρήγας	Doctor
44400000034	Δημήτριος	Νικολάου	Doctor
