AMKA	first_name	last_name	num_surgeries
07284603446	Μαρία	Καλλέργης	3
44400000083	Αικατερίνη	Ρήγας	2
70366228784	Κωνσταντίνα	Μανιάτης	2
13157081077	Παναγιώτα	Καλλέργης	2
44400000054	Δημήτριος	Νικολάου	2
16999662106	Αθηνά	Γεωργίου	2
44400000053	Αικατερίνη	Ρήγας	2
67512536918	Στέφανος	Καρράς	1
07247339492	Δημήτριος	Παπαδόπουλος	1
40611304256	Παναγιώτα	Βασιλείου	1
52532478063	Αλεξάνδρα	Πέτρου	1
14878735407	Αικατερίνη	Κωστόπουλος	1
44400000079	Άννα	Στεργίου	1
44400000033	Αικατερίνη	Ρήγας	1
44400000065	Ελένη	Αντωνίου	1
94931935241	Κωνσταντίνος	Παπαδόπουλος	1
16999662104	Ιωσήφ	Καρακώστας	1
39340372094	Γεωργία	Φωτιάδης	1
44400000005	Ελένη	Αντωνίου	1
51813465844	Φώτιος	Χρηστίδης	1
14070591720	Νικόλαος	Αθανασίου	1
44400000014	Δημήτριος	Νικολάου	1
44400000078	Κωνσταντίνος	Λαζάρου	1
17144639464	Νικόλαος	Σαράντος	1
44400000055	Ελένη	Αντωνίου	1
44400000073	Αικατερίνη	Ρήγας	1
44400000082	Γεώργιος	Δημητρίου	1
64525197858	Στυλιανός	Φωτιάδης	1
44400000027	Σοφία	Γεωργίου	1
45682063177	Χριστίνα	Σκαφιδάς	1
70297232752	Μιχαήλ	Πέτρου	1
44400000008	Κωνσταντίνος	Λαζάρου	1
44400000040	Αλέξανδρος	Παπαδόπουλος	1
54145878410	Ιωάννα	Καραγιάννης	1
15628232862	Ελπίδα	Κουτσός	1
02740632683	Μιχαήλ	Σκούρας	1
44400000076	Ιωάννης	Βασιλείου	1
58163018863	Αικατερίνη	Ράπτης	1
44400000062	Γεώργιος	Δημητρίου	1
44400000016	Ιωάννης	Βασιλείου	1
44400000057	Σοφία	Γεωργίου	1
44400000034	Δημήτριος	Νικολάου	1
50713992847	Γεώργιος	Γεωργίου	1
98242105347	Ευάγγελος	Μωραΐτης	1
44400000011	Μαρία	Μακρής	1
44400000020	Αλέξανδρος	Παπαδόπουλος	0
44400000052	Γεώργιος	Δημητρίου	0
44400000084	Δημήτριος	Νικολάου	0
22230827152	Νικόλαος	Αθανασίου	0
44400000029	Άννα	Στεργίου	0
44400000061	Μαρία	Μακρής	0
48320843411	Στέφανος	Λαζαρίδης	0
84017510265	Μαρίνα	Πετρίδης	0
44400000006	Ιωάννης	Βασιλείου	0
44400000038	Κωνσταντίνος	Λαζάρου	0
44400000070	Αλέξανδρος	Παπαδόπουλος	0
44400000015	Ελένη	Αντωνίου	0
44400000047	Σοφία	Γεωργίου	0
61468715462	Γεώργιος	Πέτρου	0
17873146945	Αναστασία	Μωραΐτης	0
44400000024	Δημήτριος	Νικολάου	0
44400000056	Ιωάννης	Βασιλείου	0
44400000088	Κωνσταντίνος	Λαζάρου	0
02048681407	Αναστασία	Γεωργίου	0
72089612174	Ιωάννα	Καραγιάννης	0
33273314714	Στυλιανός	Πετρίδης	0
50588772095	Πέτρος	Χρηστίδης	0
09752070938	Αναστασία	Παναγιωτόπουλος	0
44400000001	Μαρία	Μακρής	0
44400000010	Αλέξανδρος	Παπαδόπουλος	0
44400000042	Γεώργιος	Δημητρίου	0
44400000074	Δημήτριος	Νικολάου	0
56146745058	Αθανάσιος	Ρήγας	0
44400000019	Άννα	Στεργίου	0
44400000051	Μαρία	Μακρής	0
64616830263	Αγγελική	Παναγιωτόπουλος	0
21090854901	Αικατερίνη	Βέγγος	0
44400000028	Κωνσταντίνος	Λαζάρου	0
44400000060	Αλέξανδρος	Παπαδόπουλος	0
46242375577	Αικατερίνη	Πετρίδης	0
06966849340	Ηλίας	Κυριακού	0
78019210878	Χρήστος	Αθανασίου	0
44400000037	Σοφία	Γεωργίου	0
44400000069	Άννα	Στεργίου	0
44400000046	Ιωάννης	Βασιλείου	0
60258850957	Άννα	Δημητρίου	0
44400000023	Αικατερίνη	Ρήγας	0
44400000087	Σοφία	Γεωργίου	0
01806798517	Στέφανος	Λυκούδης	0
31729692117	Αναστασία	Παπαδόπουλος	0
44400000032	Γεώργιος	Δημητρίου	0
44400000064	Δημήτριος	Νικολάου	0
