AMKA	first_name	last_name	had_shift_current_year	total_surgeries
01806798517	Στέφανος	Λυκούδης	Yes	0
14878735407	Αικατερίνη	Κωστόπουλος	Yes	1
16999662105	Παναγιώτης	Παπαβλάχος	Yes	0
37369962539	Φωτεινή	Σπυρίδης	Yes	0
44400000001	Μαρία	Μακρής	Yes	0
44400000002	Γεώργιος	Δημητρίου	Yes	0
44400000003	Αικατερίνη	Ρήγας	Yes	0
44400000004	Δημήτριος	Νικολάου	Yes	0
44400000005	Ελένη	Αντωνίου	Yes	1
44400000006	Ιωάννης	Βασιλείου	Yes	0
44400000007	Σοφία	Γεωργίου	Yes	0
44400000008	Κωνσταντίνος	Λαζάρου	Yes	1
44400000009	Άννα	Στεργίου	Yes	0
44400000010	Αλέξανδρος	Παπαδόπουλος	Yes	0
44400000011	Μαρία	Μακρής	Yes	1
44400000012	Γεώργιος	Δημητρίου	Yes	0
44400000013	Αικατερίνη	Ρήγας	Yes	0
44400000014	Δημήτριος	Νικολάου	Yes	1
44400000015	Ελένη	Αντωνίου	Yes	0
44400000016	Ιωάννης	Βασιλείου	Yes	1
44400000017	Σοφία	Γεωργίου	Yes	0
44400000018	Κωνσταντίνος	Λαζάρου	Yes	0
44400000019	Άννα	Στεργίου	Yes	0
44400000020	Αλέξανδρος	Παπαδόπουλος	Yes	0
44400000021	Μαρία	Μακρής	Yes	0
44400000022	Γεώργιος	Δημητρίου	Yes	0
44400000023	Αικατερίνη	Ρήγας	Yes	0
44400000024	Δημήτριος	Νικολάου	Yes	0
44400000025	Ελένη	Αντωνίου	Yes	0
44400000026	Ιωάννης	Βασιλείου	Yes	0
44400000027	Σοφία	Γεωργίου	Yes	1
44400000028	Κωνσταντίνος	Λαζάρου	Yes	0
44400000029	Άννα	Στεργίου	Yes	0
44400000030	Αλέξανδρος	Παπαδόπουλος	Yes	0
44400000031	Μαρία	Μακρής	Yes	0
44400000032	Γεώργιος	Δημητρίου	Yes	0
44400000033	Αικατερίνη	Ρήγας	Yes	1
44400000034	Δημήτριος	Νικολάου	Yes	1
44400000035	Ελένη	Αντωνίου	Yes	0
44400000036	Ιωάννης	Βασιλείου	Yes	0
44400000037	Σοφία	Γεωργίου	Yes	0
44400000038	Κωνσταντίνος	Λαζάρου	Yes	0
44400000039	Άννα	Στεργίου	Yes	0
44400000040	Αλέξανδρος	Παπαδόπουλος	Yes	1
44400000041	Μαρία	Μακρής	Yes	0
44400000042	Γεώργιος	Δημητρίου	Yes	0
44400000043	Αικατερίνη	Ρήγας	Yes	0
44400000044	Δημήτριος	Νικολάου	Yes	0
44400000045	Ελένη	Αντωνίου	Yes	0
44400000046	Ιωάννης	Βασιλείου	Yes	0
44400000047	Σοφία	Γεωργίου	Yes	0
44400000048	Κωνσταντίνος	Λαζάρου	Yes	0
44400000049	Άννα	Στεργίου	Yes	0
44400000050	Αλέξανδρος	Παπαδόπουλος	Yes	0
44400000051	Μαρία	Μακρής	Yes	0
44400000052	Γεώργιος	Δημητρίου	Yes	0
44400000053	Αικατερίνη	Ρήγας	Yes	2
44400000054	Δημήτριος	Νικολάου	Yes	2
44400000055	Ελένη	Αντωνίου	Yes	1
44400000056	Ιωάννης	Βασιλείου	Yes	0
44400000057	Σοφία	Γεωργίου	Yes	1
44400000058	Κωνσταντίνος	Λαζάρου	Yes	0
44400000059	Άννα	Στεργίου	Yes	0
44400000060	Αλέξανδρος	Παπαδόπουλος	Yes	0
44400000061	Μαρία	Μακρής	Yes	0
44400000062	Γεώργιος	Δημητρίου	Yes	1
44400000063	Αικατερίνη	Ρήγας	Yes	0
44400000064	Δημήτριος	Νικολάου	Yes	0
44400000065	Ελένη	Αντωνίου	Yes	1
44400000066	Ιωάννης	Βασιλείου	Yes	0
44400000067	Σοφία	Γεωργίου	Yes	0
44400000068	Κωνσταντίνος	Λαζάρου	Yes	0
44400000069	Άννα	Στεργίου	Yes	0
44400000070	Αλέξανδρος	Παπαδόπουλος	Yes	0
44400000071	Μαρία	Μακρής	Yes	0
44400000072	Γεώργιος	Δημητρίου	Yes	0
44400000073	Αικατερίνη	Ρήγας	Yes	1
44400000074	Δημήτριος	Νικολάου	Yes	0
44400000075	Ελένη	Αντωνίου	Yes	0
44400000076	Ιωάννης	Βασιλείου	Yes	1
44400000077	Σοφία	Γεωργίου	Yes	0
44400000078	Κωνσταντίνος	Λαζάρου	Yes	1
44400000079	Άννα	Στεργίου	Yes	1
44400000080	Αλέξανδρος	Παπαδόπουλος	Yes	0
44400000081	Μαρία	Μακρής	Yes	0
44400000082	Γεώργιος	Δημητρίου	Yes	1
44400000083	Αικατερίνη	Ρήγας	Yes	2
44400000084	Δημήτριος	Νικολάου	Yes	0
44400000085	Ελένη	Αντωνίου	Yes	0
44400000086	Ιωάννης	Βασιλείου	Yes	0
44400000087	Σοφία	Γεωργίου	Yes	0
44400000088	Κωνσταντίνος	Λαζάρου	Yes	0
44400000089	Άννα	Στεργίου	Yes	0
44400000090	Αλέξανδρος	Παπαδόπουλος	Yes	0
46242375577	Αικατερίνη	Πετρίδης	Yes	0
85849364047	Αλεξάνδρα	Διαμαντής	Yes	0
